Title,Company,Location,Cleaned_Salary,Time (days ago),Cleaned_Experience (Years)
Associate Software Developer,Reconzile,Work from home,200000,14,0
Backend Developer,Clipo AI Private Limited,Noida,445000,14,0
Front End Development,DevForce,Work from home,450000,14,1
Android App Developer,Institute Of Health Management Research,Bangalore,330000,14,1
Mobile App Developer,Warm Table Technologies Private Limited,Bangalore,540000,14,1
Google Workspace Sales Executive,Leanotech Solutions Private Limited,Pune,470000,14,0
Full Stack Developer,Taskify,Work from home,900000,14,0
Product Manager,EnglishBhashi,Work from home,250000,14,1
L1 Support Engineer,Ivy Mobility Solutions,Kolkata,300001,14,1
Front End Developer,Dofin Tech Private Limited,Gurgaon,456000,14,1
Technical Support Analyst,Regime Tax Solutions Private Limited,Navi Mumbai,300000,14,1
Technical Support Analyst,Regime Tax Solutions Private Limited, Mumbai,300000,14,1
Junior WordPress Developer,Bixeltek,Hyderabad,300000,14,0
Website Audit Video Creator (Remote),Alligner.com,Work from home,300000,14,0
Frontend Angular Developer,Regime Tax Solutions Private Limited,Navi Mumbai,700000,14,1
Frontend Angular Developer,Regime Tax Solutions Private Limited, Mumbai,700000,14,1
Laravel And Next.js Developer,Developers Street,Agra,250000,14,1
SAP ABAP Associate,Ascendancy Technologies Private Limited,Bangalore,200000,14,1
AI/ML ERPNext Developer,Purple Cat Marketing,Work from home,600000,14,1
Technical Onsite Support Executive,WovV Technologies,Udaipur,225000,14,1
Full Stack Developer,Go Picnic Technology Solutions,Chennai,200000,14,0
Full Stack Developer,Go Picnic Technology Solutions, Ramapuram,200000,14,0
Associate Software Developer,Worko.ai,Bangalore,450000,14,1
Manual Tester,NexGen Innovators IT Services Private Limited,Delhi,250000,14,1
21st Century Skills Trainer,SKILLZINFINITY INDIA PRIVATE LIMITED,Bangalore,360000,14,1
Unity Game Developer,IDZ Digital Private Limited,Work from home,250000,14,0
Game Designer,IDZ Digital Private Limited,Mumbai,250000,14,0
Image Processing Associate,RProcess Outsourcing Services Pvt.Ltd,Mysuru,200000,14,0
Associate Python Developer,Startwith Basicx Private Limited,Jaipur,300000,14,0
Flutter Developer,Japam Spiritual Private Limited,Mohali,525000,14,1
Full Stack Developer,Ipex Logistics,Work from home,400000,14,0
AI-Powered Full-Stack Developer,CSTE International,Work from home,360000,14,1
Android App Developer,Genesis,Work from home,850000,14,0
Junior Software Developer,Hexacom Technologies,Work from home,300000,14,0
Junior Android App Developer,Levia Technologies Private Limited,Work from home,230000,14,1
Web Developer,Elite Offshore Private Limited,Navi Mumbai,200000,21,1
Senior PHP Laravel Developer,Brandzzy SoftTech Private Limited,Bhubaneswar,900000,21,1
iOS App Developer,UPRISE SOLAR RESOURCES PRIVATE LIMITED,Work from home,900000,21,1
Associate iOS App Developer,UPRISE SOLAR RESOURCES PRIVATE LIMITED,Work from home,800000,21,1
Junior Software Tester,UPRISE SOLAR RESOURCES PRIVATE LIMITED,Work from home,950000,21,1
Junior Software Developer,UPRISE SOLAR RESOURCES PRIVATE LIMITED,Work from home,800000,21,1
Associate Software Tester,UPRISE SOLAR RESOURCES PRIVATE LIMITED,Work from home,800000,21,1
